Name,State,Change,Density
New York,New York,0.25,11029
Los Angeles,California,0.68,3321
Chicago,Illinois,-0.32,4565
Houston,Texas,0.8,1420
Phoenix,Arizona,1.95,1252
Philadelphia,Pennsylvania,0.19,4528
San Antonio,Texas,1.61,1291
San Diego,California,1.1,1710
Dallas,Texas,1.54,1544
San Jose,California,0.26,2242
Austin,Texas,1.84,1184
Jacksonville,Florida,1.5,469
Fort Worth,Texas,2.28,1001
San Francisco,California,1.01,7315
Columbus,Ohio,1.15,1555
Charlotte,North Carolina,1.83,1101
Indianapolis,Indiana,0.33,920
Seattle,Washington,2.87,3436
Denver,Colorado,1.85,1811
Washington Dc,District Of Columbia,1.56,4438
El Paso,Texas,0.66,1038
Boston,Massachusetts,1.06,5491
Nashville,Tennessee,0.95,546
Detroit,Michigan,-0.53,1853
Portland,Oregon,1.42,1905
Oklahoma City,Oklahoma,1.2,416
Las Vegas,Nevada,1.63,1873
Memphis,Tennessee,-0.27,790
Louisville,Kentucky,0.24,907
Baltimore,Maryland,-1.11,2868
Milwaukee,Wisconsin,-0.74,2354
Albuquerque,New Mexico,0.33,1161
Tucson,Arizona,0.42,872
Fresno,California,0.68,1799
Sacramento,California,1.2,2006
Mesa,Arizona,1.29,1391
Kansas City,Missouri,1.34,606
Atlanta,Georgia,1.98,1423
Colorado Springs,Colorado,2.02,960
Miami,Florida,2.73,5139
Raleigh,North Carolina,1.91,1269
Long Beach,California,-0.28,3588
Virginia Beach,Virginia,0.16,716
Omaha,Nebraska,0.38,1262
Oakland,California,0.51,2931
Minneapolis,Minnesota,0.85,3008
Tulsa,Oklahoma,-0,788
Arlington,Texas,1.07,1617
New Orleans,Louisiana,0.45,900
Tampa,Florida,2.25,1343
Wichita,Kansas,0.22,941
Bakersfield,California,1.03,991
Cleveland,Ohio,-0.52,1897
Aurora,Colorado,0.93,927
Anaheim,California,0.5,2742
Honolulu,Hawaii,-0.07,2240
Santa Ana,California,0.06,4759
Riverside,California,1.05,1576
Corpus Christi,Texas,0.37,726
Lexington Fayette,Kentucky,1.14,444
Stockton,California,0.81,1953
Henderson,Nevada,2.69,1140
St. Paul,Minnesota,0.94,2289
St. Louis,Missouri,-1.13,1897
Pittsburgh,Pennsylvania,-0.08,2114
Cincinnati,Ohio,0.05,1482
Anchorage,Alaska,-0.04,67
Plano,Texas,0.97,1571
Orlando,Florida,2.36,1066
Greensboro,North Carolina,0.6,873
Lincoln,Nebraska,1.32,1196
Irvine,California,3.73,1688
Newark,New Jersey,0.24,4527
Toledo,Ohio,-0.42,1321
Durham,North Carolina,2.05,959
Chula Vista,California,0.79,2112
St. Petersburg,Florida,1.63,1685
Fort Wayne,Indiana,0.63,935
Jersey City,New Jersey,0.11,6908
Laredo,Texas,0.94,972
Madison,Wisconsin,1.54,1306
Scottsdale,Arizona,2.67,546
Lubbock,Texas,1.5,787
Chandler,Arizona,1.45,1514
Reno,Nevada,1.84,904
Buffalo,New York,-0.57,2429
Glendale,Arizona,1.08,1631
North Las Vegas,Nevada,1.85,976
Gilbert,Arizona,1.96,1400
Winston Salem,North Carolina,0.69,716
Norfolk,Virginia,-0.42,1762
Chesapeake,Virginia,1.04,277
Irving,Texas,0.95,1399
Fremont,California,0.73,1179
Hialeah,Florida,-0.28,4226
Garland,Texas,-0.54,1573
Richmond,Virginia,1.56,1484
Boise City,Idaho,1.27,1078
Baton Rouge,Louisiana,-0.27,1018
Spokane,Washington,1.32,1245
